block, chapter, number, hash, fname, status, skill, comment
Preliminaries, "describing functions", "6.03", "jywRQQ", "Exercises/horse-lend-bottle.Rmd", raw, "F-concavity F-inflection F-argmax F-continuous", "describing functions"
Modeling, parameters, "8.01", "MWLCS", "Exercises/fiducial-point.Rmd", passed, "Gi-Fun-108", comment
Modeling, parameters, "8.02", "uKCIE", "Exercises/scale-input-1.Rmd", passed, "Bk-Fun-108", comment
Modeling, parameters, "8.03", "BLECL", "Exercises/scale-input-2.Rmd", passed, "Hand-Fun-126 Re-Fun-108", comment
Modeling, parameters, "8.04", "FKLEU", "Exercises/two-sines.Rmd", passed, "Gi-Fun-113a", comment
Modeling, parameters, "8.05", "vkwl4", "Exercises/chicken-choose-vase.Rmd", passed, "F-exponential-param", comment
Modeling, parameters, "8.06", "Uoeg1h", "Exercises/snake-teach-screen.Rmd", passed, skill, "R parameters as arguments"
Modeling, parameters, "8.07", "Vc6fl7", "Exercises/kitten-find-linen.Rmd", passed, "Re-Fun-116a", bacterial doubling time
Modeling, parameters, "8.08", "ZLdoAr", "Exercises/horse-find-chair.Rmd", passed, "Re-Fun-116a Gi-Fun-117a Re-Dat-200 Re-Dat-201 Re-Dat-202f", bacterial doubling time
Modeling, parameters, "8.09", "jWBO5K", "Exercises/dolphin-burn-clock.Rmd", passed, "Re-Fun-121", Inverse square law
Modeling, parameters, "8.10", "O8Yudf", "Exercises/horse-hold-mattress.Rmd", passed, "Re-Fun-104 Re-Fun-124", performance vs stress
Modeling, parameters, "8.11", "kCUb0E", "Exercises/buck-shut-stove.Rmd", passed, "Gi-Fun-125-sigmoid", smartphone penetration
Modeling, parameters, "8.99", "sYCluJ", "Exercises/rat-beat-tv.Rmd", raw, "Gi-Fun-125", fiducial points
Modeling, "assembling functions", "9.00", "FCXT1L", "Exercises/seahorse-build-pot.Rmd", working notes,"Co-Fun-113c", Length of daylight notes
Modeling, "assembling functions", "9.01", "EDKYV", "Exercises/bigger-two.Rmd", passed,"Nr-Fun-110", comment
Modeling, "assembling functions", "9.02", "mtHyvJ", "Exercises/beech-ride-table.Rmd", passed, "asymptotes", comment
Modeling, "assembling functions", "9.03", "AZrAj8", "Exercises/shark-rise-kitchen.Rmd", passed, "domain", comment
Modeling, "assembling functions", "9.04", "JWUVA", "Exercises/combining-hump-funs.Rmd", raw, "F-linear-combinations", comment
Modeling, "assembling functions", "9.05", "AVNOW", "Exercises/bumpy-road-1.Rmd", raw, "F-linear-combinations", comment
Modeling, "assembling functions", "9.06", "FISHU", "Exercises/two-gaussians.Rmd", raw, "F-linear-combinations", comment
Modeling, "assembling functions", "9.07", "LPhyTb", "Exercises/maple-pitch-jacket.Rmd", raw, "F-products", comment
Modeling, "assembling functions", "9.08", "MWDKVA", "Exercises/multiplying-functions.Rmd", raw, "F-products", modulation
Modeling, "assembling functions", "9.09", "DLLVA", "Exercises/arith-with-funs.Rmd", raw, "F-linear-combs", "epidemic waves"
Modeling, "assembling functions", "9.10", mtHyvJ, "Exercises/beach-ride-table.Rmd", passed, "Re-Fun-110-103h", comment
Modeling, "assembling functions", "9.11", "KINWgK", "Exercises/goldfish-begin-pantry.Rmd", passed, "F-multiplication", solar power
Modeling, "functions with multiple inputs", "10.01", "ICLSE", "Exercises/NOAA.Rmd", passed, skill, comment
Modeling, "functions with multiple inputs", "10.02", "EDKKW", "Exercises/pythagorus-two.Rmd", passed, skill, comment
Modeling, "functions with multiple inputs", "10.03", "E9e7c6", "Exercises/goat-walk-window.Rmd", passed, skill, comment
Modeling, "fitting by feature", "11.01", "j0LTYT", "Exercises/lion-chew-bowl.Rmd", passed, "Gi-Fun-115c-108", comment
Modeling, "fitting by feature", "11.02", "KR1dfc", "Exercises/lion-look-shirt.Rmd", raw, "F-exponential-params F-half-life", comment
Modeling, "fitting by feature", "11.04", "dB1r5F", "Exercises/spider-tear-plant.Rmd", passed, skill, comment
Modeling, "fitting by feature", "11.05", "KWLCie", "Exercises/drawing.Rmd", passed, skill, comment
Modeling, "fitting by feature", "11.06", "daylength", "Exercises/length-of-day.Rmd", failed, skill, comment
Modeling, "fitting by feature", "11.07", "p6jxx5", "Exercises/duck-see-socks.Rmd", passed, "linear combinations", comment
Modeling, "fitting by feature", "11.08", "0rvpbu", "Exercises/kid-type-boat.Rmd", passed, "F-input-scaling", comment
Modeling, "fitting by feature", "11.09", "YLWP1", "Exercises/flipping-1.Rmd", passed, skill, comment
Modeling, "fitting by feature", "11.10", "YELXG", "Exercises/lamb-talk-gloves.Rmd", passed, skill, comment
Modeling, "fitting by feature", "11.11", "VBWD", "Exercises/spirometer.Rmd", failed, skill, comment
Modeling, "fitting by feature", "11.12", "asevss", "Exercises/cow-type-kayak.Rmd", passed, skill, comment
Modeling, "fitting by feature", "11.13", "IELWV", "Exercises/hump-intro.Rmd", passed, skill, comment
Modeling, "fitting by feature", "11.14", "HWVcpG", "Exercises/squirrel-toss-glasses.Rmd", raw, "F-params-gaussian", comment
Modeling, "fitting by feature", "11.16", "YLWP2", "Exercises/flipping-2.Rmd", passed, "Gi-Fun-115b-exponential", comment
Modeling, "fitting by feature", "11.17", "EKCIE", "Exercises/ebola-sigmoid.Rmd", passed, "Gi-Fun-115b-sigmoid", comment
Modeling, operations, "13.03", "2svBa5", "Exercises/snail-pitch-knife.Rmd", passed, skill, "Graphical zero finding"
Modeling, operations, "13.05", "9LB8hK", "Exercises/beech-lead-piano.Rmd", passed, "inverses", comment
Modeling, operations, "13.07", "IWLDN1", "Exercises/inverse-flip-1.Rmd", passed, "inverses", comment
Modeling, operations, "13.04", "1kZXxT", "Exercises/titmouse-throw-sofa.Rmd", passed, "inverses", comment
Modeling, magnitudes, "14.02", "ILXEG", "Exercises/mag-blue.Rmd", passed, "Gi-Fun-117a",comment

Modeling, magnitudes, "14.05", "RWESX", "Exercises/Boyles-data.Rmd", passed, "Gi-Fun-117a-powerlaw Gc-Fun-117a", comment
Modeling, magnitudes, "14.06", "gmZiWh", "Exercises/lion-jump-kitchen.Rmd", passed, "Re-Fun-117 Gi-Fun-117a-powerlaw", comment
Modeling, magnitudes, "14.07", "EWLCI", "Exercises/engine-magnitude-new.Rmd", passed, "Gi-Fun-117a", comment
Modeling, magnitudes, "14.08", "TLEXE", "Exercises/fish-walk-green.Rmd", passed, "Gi-Fun-117a", comment
Modeling, magnitudes, "14.09", "SELIX", "Exercises/tiger-have-fork.Rmd", passed, "Gc-Fun-117 Gi-Fun-117", comment
Modeling, magnitudes, "14.10", "PeQJCA", "Exercises/octopus-look-radio.Rmd", passed, "Gi-Fun-116 Gi-Fun-117a", DD-11
Modeling, magnitudes, "14.11", "XzZn2N", "Exercises/Fun/deer-blow-bulb.Rmd", failed, skill, comment
Modeling, magnitudes, "14.12", "yNWrj1", "Exercises/pig-sit-fridge.Rmd", raw, skill, comment
Modeling, magnitudes, "14.13", "pUKm4c", "Exercises/sheep-buy-dress.Rmd", failed, skill, comment
Modeling, magnitudes, "14.14", "r0J7yN", "Exercises/spider-read-futon.Rmd", raw, skill, comment
Modeling, magnitudes, "14.15", "cW5T7w", "Exercises/seahorse-ride-sheet.Rmd", passed, "Gi-Fun-116-i Gi-Fun-117a Gi-Fun-128"
Modeling, magnitudes-mini-project, "COVID-19 pandemic", "j3xe", "Exercises/maple-hit-saucer.Rmd", passed, "Gi-Fun-117a-exponential interdisciplinary", comment
Modeling, magnitudes, "14.16", "Au0WmW", "Exercises/buck-spend-saw.Rmd", passed, "Gi-Fun-117a", comment
Modeling, magnitudes, "14.17", "8krIme", "Exercises/child-sleep-bed.Rmd", passed, "Gi-Fun-117a", engines
Modeling, dimensions, "15.01", "mHACgC", "Exercises/frog-win-fridge.Rmd", passed, skill, comment
Modeling, dimensions, "15.02", "UGDKY", "Exercises/dim-formulas.Rmd", passed, skill, comment
Modeling, dimensions, "15.03", "DVGKY", "Exercises/dim-params.Rmd", failed, skill, comment
Modeling, dimensions, "15.04", "KGYKY", "Exercises/crow-mean-dress.Rmd", passed, skill, comment
Modeling, dimensions, "15.05", "JELCI", "Exercises/Boyd-1.Rmd", passed, skill, comment
Modeling, dimensions, "15.06", "aNEcW1", "Exercises/snake-leave-candy.Rmd", passed, "Re-Dim-302", comment
Modeling, dimensions, "15.07", "VA9Dxi", "Exercises/frog-grow-pantry.Rmd", passed, skill, comment
Modeling, cycle, "16.01", "WFYt0W", "Exercises/fox-sit-kayak.Rmd", passed, "modeling-cycle", solar power
Differentiation, "rate of change", "17.02", "KHDUE", "Exercises/duck-takes-chair.Rmd", passed, skill, comment
Differentiation, "rate of change", "17.04", "WRWIX", "Exercises/goat-dive-saucer.Rmd", passed, skill, comment
Differentiation, "rate of change", "17.05", "KEWIX", "Exercises/snail-tear-blanket.Rmd", passed, skill, comment
Differentiation, "rate of change", "17.06", "YQCLE", "Exercises/chicken-show-map.Rmd", passed, skill, comment
Differentiation, "rate of change", "17.07", "rTSX3", "Exercises/eagle-bring-car.Rmd", passed, skill, comment
Differentiation, "rate of change", "17.08", "URIMX", "Exercises/pig-look-rug.Rmd", passed, skill, comment
Differentiation, "rate of change", "17.09", "RDWKW", "Exercises/exponentials.Rmd", passed, skill, comment
Differentiation, "rate of change", "17.10", "HRTIX", "Exercises/lion-find-bowl.Rmd", passed, skill, comment
Differentiation, "rate of change", "17.12", "CUXLR", "Exercises/slope-web-1.Rmd", passed, skill, comment
Differentiation, "rate of change", "17.13", "MW03ay", "Exercises/lamb-put-bulb.Rmd", passed, skill, comment
Differentiation, "rate of change", "17.14", "4EEOI8", "Exercises/goldfish-ring-linen.Rmd", raw, skill, comment
Differentiation, intro, "18.02", "slwdkw", "Exercises/kid-mean-table.Rmd", passed, skill, comment
Differentiation, intro, "18.04", "eodlt", "Exercises/pine-lead-car.Rmd", passed, skill, comment
Differentiation, intro, "18.06", "iclcws", "Exercises/robin-row-boat.Rmd", passed, skill, comment
Differentiation, intro, "18.08", "helxs", "Exercises/deer-pitch-saw.Rmd", passed, skill, comment
Differentiation, intro, "18.10", "1kZXxT", "Exercises/titmouse-throw-sofa.Rmd", passed, skill, comment
Differentiation, intro, "18.12", "eyded", "Exercises/kitten-put-kayak.Rmd", passed, skill, comment
Differentiation, intro, "18.14", "elclvd", "Exercises/rat-take-fork.Rmd", passed, skill, comment
Differentiation, intro, "18.16", "nsmx8w3", "Exercises/SIR-dimensions.Rmd", passed, skill, comment
Differentiation, evanescent, "19.01", "8KQzUH", "Exercises/rhinosaurus-hold-plate.Rmd", raw, skill, comment
Differentiation, evanescent, "19.02", "7fWerC", "Exercises/girl-think-clock.Rmd", passed, skill, comment
Differentiation, evanescent, "19.03", "btFLGr", "Exercises/kitten-wear-saw.Rmd", passed, skill, comment
Differentiation, evanescent, "19.04", "taHQ4H", "Exercises/reptile-hear-oven.Rmd", raw, skill, comment
Differentiation, evanescent, "19.05","qAJhzp", "Differentiation/Exercises/shark-tug-laundry.Rmd", passed, skill, comment
Differentiation, computing, "20.01", "kelwx", "Exercises/tilde-function.Rmd", passed, skill, comment
Differentiation, computing, "20.02", "K05LrF", "Exercises/fly-speak-canoe.Rmd", passed, skill, comment
Differentiation, computing, "20.03", "CKSLE", "Exercises/sigmoid-intro.Rmd", passed, "Gi-Cal-404-ai Gi-Cal-404-k", gaussian sigmoid pairing
Differentiation, computing, "20.04", "ZQ7pWO", Exercises/boy-hide-gloves.Rmd", passed, "Gi-Cal-404-k", gaussian sigmoid pairing
Differentiation, computing, "20.05", "bllKR", "Exercises/sigmoid-bath.Rmd", passed, skill, comment
Differentiation, computing, "20.06", "qCfet3", "Exercises/doe-pay-kitchen.Rmd", passed, skill, comment
Differentiation, computing, "20.07", "ykels", "Exercises/finch-trim-kayak.Rmd", passed, skill, comment
Differentiation, computing, "20.08", "SbzY4Z", "Exercises/octopus-wear-window.Rmd", raw, skill, comment
Differentiation, computing, "20.09", "gzHTUj", "Exercises/rhinosaurus-hurt-roof.Rmd", raw, skill, comment
Differentiation, computing, "20.10", "mmKSGm", "Exercises/ape-make-clock.Rmd", raw, skill, comment
Differentiation, computing, "20.11", "Ct9j6c", "Exercises/pine-make-cotton.Rmd", raw, skill, comment
Differentiation, concavity, "21.01", "ykIBCb", "Exercises/frog-bid-bed.Rmd", passed, skill, comment
Differentiation, concavity, "21.02", "QnpuMN", "Exercises/turtle-send-pot.Rmd", passed, skill, comment
Differentiation, concavity, "21.03", "kq3t86", "Exercises/reptile-put-kitchen.Rmd", passed, skill, comment
Differentiation, concavity, "21.04", "BVRjhF", "Exercises/goat-pay-pot.Rmd", passed, skill, comment
Differentiation, concavity, "21.05", "5ddB5r", "Exercises/seahorse-speak-saucer.Rmd", passed, skill, comment
Differentiation, concavity, "21.06", "4nsU0z", "Exercises/panda-drive-shirt.Rmd", passed, skill, comment
Differentiation, concavity, "21.07", "iIXOYZ", "Exercises/crow-write-chair.Rmd", passed, "C-concavity F-inflection", comment
Differentiation, concavity, "21.08", "bHacc6", "Exercises/goat-come-bed.Rmd", passed, skill, comment
Differentiation, concavity, "21.09", "jyXhPM", "Exercises/chicken-sleep-knife.Rmd", passed, skill, comment 
Differentiation, concavity, "21.11", "v2doBq", "Exercises/boy-send-book.Rmd", raw, skill, comment
Differentiation, concavity, "21.10", "rou0yO", "Exercises/tiger-blow-futon.Rmd", passed, skill, comment
Differentiation, "continuity and smoothness", "22.01", "yJKLEb", "Exercises/spider-tug-gloves.Rmd", passed, skill, comment
Differentiation, "continuity and smoothness", "22.02", "4Iv7t", "Exercises/moose-hears-door.Rmd", passed, skill, comment
Differentiation, "continuity and smoothness", "22.03", "UNeewh", "Exercises/maple-sail-boat.Rmd", passed, skill, comment
Differentiation, "continuity and smoothness", "22.04", "jG4rie", "Exercises/camel-begin-piano.Rmd", passed, skill, comment
Differentiation, "continuity and smoothness", "22.05", "2beqIv", "Exercises/fox-know-dress.Rmd", passed, skill, comment
Differentiation, rules, "23.01", "jYXYTF", "Exercises/ant-give-room.Rmd", passed, skill, comment
Differentiation, rules, "23.02", "3ICCCz", "Exercises/lamb-rise-sofa.Rmd", passed, skill, comment
Differentiation, rules, "23.03", "JvtMuz", "Exercises/pig-see-pantry.Rmd", passed, "Gi-Cal-404a Gi-Fun-113a", comment
Differentiation, rules, "23.04", "QFzIOl", "Exercises/buck-draw-bed.Rmd", passed, skill, comment
Differentiation, rules, "23.06", "qyOuQF", "Exercises/giraffe-sit-piano.Rmd", passed, skill, comment
Differentiation, rules, "23.08", "yT2BkB", "Exercises/ant-bite-bed.Rmd", raw, skill, comment
Differentiation, rules, "23.10", "Z7MY4I", "Exercises/goat-pay-pantry.Rmd", raw, skill, comment
Differentiation, rules, "23.06", "QIELS", "Exercises/dnorm.Rmd", passed, skill, comment
Differentiation, rules, "23.08", "HCILW", "Exercises/descent-path.Rmd", passed, skill, comment
Differentiation, rules, "23.09", "Ao6v5n", "Exercises/octopus-teach-sheet.Rmd", passed, skill, comment
Differentiation, rules, "23.10", "ed6q4v", "Exercises/goldfish-keep-bed.Rmd", passed, skill, comment
Differentiation, rules, "23.12", "0yrIXe", "Exercises/monkey-forget-tv.Rmd", passed, skill, comment
Differentiation, rules, "23.14", "2JJoS6", "Exercises/dog-look-bottle.Rmd", passed, skill, comment
Differentiation, optimization, "24.02", "0zyL02", "Exercises/child-iron-laundry.Rmd", passed, skill, comment
Differentiation, optimization, "24.04", "FbJynV", "Exercises/calf-bring-pants.Rmd", passed, skill, comment
Differentiation, optimization, "24.06", "ykelx", "Exercises/concavity.Rmd", passed, skill, comment
Differentiation, optimization, "24.08", "lexkd", "Exercises/tree-loves-fish.Rmd", passed, skill, comment
Differentiation, optimization, "24.10", "dwes", "Exercises/optim-violet.Rmd", passed, skill, comment
Differentiation, optimization, "24.12", "whfrt", "Exercises/optim-pink.Rmd", passed, skill, comment
Differentiation, optimization, "24.14", "jgtrds", "Exercises/optim-red.Rmd", raw,  skill, comment
Differentiation, optimization, "24.18", "ph92lT", "Exercises/walnut-write-futon.Rmd", passed, "Sc-Opt-655", comment
Differentiation, partial, "25.01", "xdkw", "Exercises/gradient-field-orange.Rmd", passed, skill, comment
Differentiation, partial, "25.02", "9iowVB", "Exercises/partial-purple.Rmd", passed, skill, comment
Differentiation, partial, "25.03", "snWwgl", "Exercises/dog-hide-room.Rmd", passewd, "Gi-Cal-404di", comment
Differentiation, partial, "25.04", "qdkw", "Exercises/partial-tan.Rmd", passed, skill, comment
Differentiation, partial, "25.06", "uekses", "Exercises/partial-doctor.Rmd", passed, skill, essay
Differentiation, partial, "25.07", "RbuhMy", "Exercises/child-hide-lamp.Rmd", passed, skill, comment
Differentiation, partial, "25.08", "lkwciw", "Exercises/gradient-field-blue.Rmd", passed, skill, comment
Differentiation, partial, "25.10", "wkd83", "Exercises/gradient-field-red.Rmd", passed, skill, comment
Differentiation, partial, "25.12", "tPsfoR", "Exercises/boy-iron-dish.Rmd", passed, skill, comment
Differentiation, partial, "25.13", "YMxxSG", "Exercises/buck-lie-plant.Rmd", passed, skill, comment
Differentiation, partial, "25.14", "vkdlw", "Exercises/partial-house.Rmd", passed, skill, comment
Differentiation, partial, "25.16", "72ldw", "Exercises/spider-blow-lamp.Rmd", passed, skill, comment
Differentiation, partial, "25.18", "oekse", "Exercises/grass-grows-red.Rmd", passed, skill, comment
Differentiation, partial, "25.20", "ZQlUv4", "Exercises/shark-bite-sheet.Rmd", passed, skill, comment
Differentiation, approximation, "26.02", "ckslw", "Exercises/rooster-pink.Rmd", passed, skill, comment
Differentiation, approximation, "26.04", "ikdlx", "Exercises/rooster-violet.Rmd", passed, skill, comment
Differentiation, approximation, "26.05", "iUQmZ1", "Exercises/rhinosaurus-send-car.Rmd", passed, "Re-Mod-1201ai", comment
Differentiation, "taylor polynomials", "27.01", "3EdMBL", "Exercises/birch-lie-sheet.Rmd", passed, skill, comment
Differentiation, "taylor polynomials", "27.02", "o6dP4k", "Exercises/pig-iron-closet.Rmd", passed, skill, comment
Differentiation, "taylor polynomials", "27.03", "Co1Ekt", "Exercises/dog-feel-boat.Rmd", passed, skill, comment
Differentiation, "taylor polynomials", "27.04", "llX7EF", "Exercises/calf-tear-fridge.Rmd", passed, skill, comment
Differentiation, "taylor polynomials", "27.05", "bbti5S", "Exercises/camel-sing-futon", passed, "Gi-Theory-605", comment
Differentiation, "taylor polynomials", "27.06", "pI03fM", "Exercises/seahorse-pay-plant.Rmd", passed, "Co-Theory-605c", comment
Differentiation, "taylor polynomials", "27.07", "ecdVKx", "Exercises/frog-throw-screen.Rmd", passed, skill, comment
Differentiation, "taylor polynomials", "27.08", "pseisj", "Exercises/fish-hurt-ring.Rmd", passed, skill, comment
Differentiation, "taylor polynomials", "27.09", "682lsB", "Exercises/local-shift.Rmd", passed, "Gi-Theory-605", comment
Differentiation, "taylor polynomials", "27.10", "cQT2v6", "Exercises/dolphin-mean-linen.Rmd", passed, skill, comment
Differentiation, "taylor polynomials", "27.11", "jAOmME", "Exercises/birch-dig-radio.Rmd", passed, skill, comment
Differentiation, "taylor polynomials", "27.12", "VHSyj0", "Exercises/seaweed-ride-plant.Rmd", raw, skill, comment
Linear-combinations, vectors,"28.01", "pQLrbc", "Exercises/owl-become-fork.Rmd", passed, skill, dot products
Linear-combinations, vectors,"28.03", "QPShi2", "Exercises/cat-eat-mattress.Rmd", passed, skill, Vector lengths
Linear-combinations, vectors,"28.05", "UsntjP", "Exercises/tiger-run-futon.Rmd", passed, skill,  Scalar multipliers
Linear-combinations, vectors,"28.07", "JPtnJM", "Exercises/kangaroo-have-closet.Rmd", passed, skill, Orthogonality
Linear-combinations, vectors,"28.09", "Ihil7U", "Exercises/lamb-throw-candy.Rmd", passed, skill,Angles
Linear-combinations, vectors,"28.11", "5zmmBu", "Exercises/girl-send-scarf.Rmd", passed, skill, comment
Linear-combinations, vectors,"28.13", "16E37d", "Exercises/panda-think-plate.Rmd", passed, skill, comment
Linear-combinations, vectors,"28.15", "MBTGQt", "Exercises/duck-do-pantry.Rmd", passed, skill, airplane intercept vector
Linear-combinations, vectors,"28.17", "PCfYDo", "Exercises/crocodile-talk-mattress.Rmd", passed, skill, comment
Linear-combinations, linear combinations,"29.01", "k5u7hG", "Exercises/titmouse-stand-pantry.Rmd", passed, skill, Adding vectors
Linear-combinations, linear combinations,"29.03", "Q2ars0", "Exercises/squirrel-hear-glasses.Rmd", passed, skill, comment
Linear-combinations, linear combinations,"29.05", "N98zli", "Exercises/falcon-begin-door.Rmd", passed, skill, comment
Linear-combinations, linear combinations,"29.07", "xG8ePG", "Exercises/cat-run-shoe.Rmd", passed, skill, comment
Linear-combinations, linear combinations,"29.09", "ffHdu3", "Exercises/calf-pitch-chair.Rmd", passed, skill,linear combinations
Linear-combinations, linear combinations,"29.11", "9bAVr2", "Exercises/cat-understand-car.Rmd", passed, skill, comment
Linear-combinations, linear combinations,"29.12", "djpDYI", "Exercises/bee-beat-hamper.Rmd", passed, skill, comment 
Linear-combinations, linear combinations,"29.13", "l5UR71", "Exercises/kid-become-pants.Rmd", passed, skill, comment
Linear-combinations, linear combinations,"29.15", "K8hC6q", "Exercises/pig-find-canoe.Rmd", raw, skill, comment
Linear-combinations, projection,"30.01", "wniqMc", "Exercises/panda-begin-shoe.Rmd", passed, skill, comment
Linear-combinations, projection,"30.02", "yeY17y", "Exercises/kangaroo-light-bowl.Rmd", passed, skill, comment
Linear-combinations, projection,"30.03", "xSoxzL", "Exercises/child-dig-shoe.Rmd", passed, skill, comment
Linear-combinations, projection,"30.04", "zK7fQn", "Exercises/maple-draw-closet.Rmd", passed, skill, comment
Linear-combinations, projection,"30.05", "vUbXdq", "Exercises/eagle-hold-piano.Rmd", passed, skill, comment
Linear-combinations, projection,"30.06", "p209w8", "Exercises/beech-build-shirt.Rmd", passed, skill, comment
Linear-combinations, projection,"30.07", "dvWdE7", "Exercises/puppy-dream-spoon.Rmd", passed, skill, comment
Linear-combinations, target problem,"31.01", "1Jxboc", "Exercises/snake-ride-glasses.Rmd", passed, skill, comment
Linear-combinations, target problem,"31.02", "DPY4Ue", "Exercises/crow-cut-mug.Rmd", passed, skill, comment
Linear-combinations, target problem,"31.03", "dIobrt", "Exercises/rabbit-buy-hamper.Rmd", passed, skill, comment
Linear-combinations, statistical modeling ,"32.01", "97zwR6", "Exercises/girl-have-rug.Rmd", passed, skill, comment
Linear-combinations, statistical modeling ,"32.03", "RtOmj1", "Exercises/cat-tell-pan.Rmd", raw, skill, comment
Linear-combinations, functions,"33.03", "uKOO7K", "Exercises/pony-stand-bottle.Rmd", passed, skill, comment
Linear-combinations, functions,"33.05", "sNEKcy", "Exercises/walnut-bet-pants.Rmd", passed, skill, comment
Accumulation, intro, "34.01", "bcJnUq", "Exercises/wolf-beat-book.Rmd", passed, skill, comment
Accumulation, intro, "34.02", "Ya2cVq", "Exercises/fir-lead-canoe.Rmd", passed, skill, DD31
Accumulation, intro, "34.03", "wmyERp", "Exercises/bee-bid-knife.Rmd", passed, skill, DD31
Accumulation, intro, "34.04", "kEAW8g", "Exercises/dog-have-mattress.Rmd", passed, skill, comment
Accumulation, intro, "34.05", "NYPDR", "Exercises/horse-takes-pillow.Rmd", passed, skill, comment
Accumulation, intro, "34.06", "HaAriG", "Exercises/frog-choose-coat.Rmd", passed, "Sc-Cal-403ai", comment
Accumulation, intro, "34.07", "Q5gufA", "Exercises/kid-show-blanket.Rmd", passed, "Re-Cal403q", physics relationships
Accumulation, visualization,"35.02", "BhGRKU", "Exercises/camel-win-bottle.Rmd", passed, skill, comment
Accumulation, visualization, "35.03", "AcqagE", "Exercises/fish-go-scarf.Rmd", passed, "Gi-Cal-403-h", comment
